Administrative ID,count
2223331.0,8
2171741.0,6
2130880.0,6
2190718.0,6
2221406.0,6
2201158.0,6
2201472.0,5
2231846.0,5
2231320.0,5
2230231.0,5
2190267.0,5
2101335.0,5
2223113.0,5
2231063.0,5
2201169.0,5
2221162.0,5
2200241.0,4
2152097.0,4
2090897.0,4
2150422.0,4
2200607.0,4
2173275.0,4
2200616.0,4
2221610.0,4
2221570.0,4
2181576.0,4
2223095.0,4
2131312.0,4
2200677.0,4
2130222.0,4
2200710.0,4
2200053.0,4
2224072.0,4
2220207.0,4
2162098.0,4
2150499.0,4
2191224.0,4
2180216.0,4
2220143.0,4
2140851.0,4
2224032.0,4
2232017.0,4
2230483.0,4
2140224.0,4
2221622.0,4
2200716.0,4
2223504.0,4
2220132.0,4
2150281.0,4
2172265.0,4
2120583.0,4
2221541.0,4
2200584.0,4
2230534.0,4
2224067.0,4
2224630.0,4
2101195.0,4
2090987.0,4
2223217.0,4
2221822.0,4
2170691.0,3
2171936.0,3
2221434.0,3
2140062.0,3
2150043.0,3
2221663.0,3
2150982.0,3
2141652.0,3
2231226.0,3
2230289.0,3
2162550.0,3
2161306.0,3
2160997.0,3
2082131.0,3
2224538.0,3
2224152.0,3
2224855.0,3
2223863.0,3
2223457.0,3
2221564.0,3
2230692.0,3
2223359.0,3
2191462.0,3
2201445.0,3
2223105.0,3
2181220.0,3
2231641.0,3
2223436.0,3
2231024.0,3
2181093.0,3
2230136.0,3
2170770.0,3
2223164.0,3
2210226.0,3
2191531.0,3
2230954.0,3
2141012.0,3
2150010.0,3
2161014.0,3
2120344.0,3
2230390.0,3
2131489.0,3
2190268.0,3
2224620.0,3
2221724.0,3
2040719.0,3
2141608.0,3
2150900.0,3
2080599.0,3
2221818.0,3
2191871.0,3
2131214.0,3
2230312.0,3
2191258.0,3
2224074.0,3
2200697.0,3
2171227.0,3
2080761.0,3
2151137.0,3
2151304.0,3
2230055.0,3
2200728.0,3
2221227.0,3
2220101.0,3
2172775.0,3
2223961.0,3
2223128.0,3
2110446.0,3
2141047.0,3
2223220.0,3
2224737.0,3
2172624.0,3
2230100.0,3
2220200.0,3
2161574.0,3
2210546.0,3
2224378.0,3
2224294.0,3
2224760.0,3
2172490.0,3
2181055.0,3
2223490.0,3
2220908.0,3
2173336.0,3
2200723.0,3
2224766.0,3
2230893.0,3
2191740.0,3
2231958.0,3
2141511.0,3
2001681.0,3
2191868.0,3
2191325.0,3
2110394.0,3
2234291.0,3
2221894.0,3
2180049.0,3
2191474.0,3
2150803.0,3
2231550.0,3
2231377.0,3
2221561.0,3
2120056.0,2
2231899.0,2
2191198.0,2
2131496.0,2
2161580.0,2
2223990.0,2
2221851.0,2
2190250.0,2
2221674.0,2
2221824.0,2
2221186.0,2
2181647.0,2
2230894.0,2
2210211.0,2
2230205.0,2
2231900.0,2
2200886.0,2
2091774.0,2
2201276.0,2
2172940.0,2
2224668.0,2
2130814.0,2
2190733.0,2
2200643.0,2
2172321.0,2
2220481.0,2
2220050.0,2
2232056.0,2
2170117.0,2
2162173.0,2
2200683.0,2
2100213.0,2
2230316.0,2
2223448.0,2
2224259.0,2
2181766.0,2
2223575.0,2
2230697.0,2
2162333.0,2
2230026.0,2
2220213.0,2
2191511.0,2
2224674.0,2
2150123.0,2
2173279.0,2
2220219.0,2
2230200.0,2
2082033.0,2
2150336.0,2
2223142.0,2
2231845.0,2
2190777.0,2
2231359.0,2
2231588.0,2
2201399.0,2
2161287.0,2
2191929.0,2
2150274.0,2
2173345.0,2
2223522.0,2
2170933.0,2
2221672.0,2
2200512.0,2
2224370.0,2
2140545.0,2
2221642.0,2
2230689.0,2
2162130.0,2
2170108.0,2
2230745.0,2
2231545.0,2
2221628.0,2
2230786.0,2
2201278.0,2
2232301.0,2
2221940.0,2
2232493.0,2
2100012.0,2
2120236.0,2
2231037.0,2
2223761.0,2
2131212.0,2
2220144.0,2
2223255.0,2
2221651.0,2
2220515.0,2
2190411.0,2
2232539.0,2
2173304.0,2
2224513.0,2
2190390.0,2
2221241.0,2
2080541.0,2
2221750.0,2
2224533.0,2
2190542.0,2
2230315.0,2
2230477.0,2
2223764.0,2
2200100.0,2
2091172.0,2
2190893.0,2
2200712.0,2
2224287.0,2
2191287.0,2
2223015.0,2
2190237.0,2
2221399.0,2
2200471.0,2
981299.0,2
2091035.0,2
2223714.0,2
2180526.0,2
2230766.0,2
2220162.0,2
2230473.0,2
2171623.0,2
2221669.0,2
2131000.0,2
2221421.0,2
2223950.0,2
2131145.0,2
2230165.0,2
2220541.0,2
2221764.0,2
2200564.0,2
2181516.0,2
2110073.0,2
2223381.0,2
2150342.0,2
2223389.0,2
2230755.0,2
2161757.0,2
2191749.0,2
2230365.0,2
2221776.0,2
2200066.0,2
2200046.0,2
2100891.0,2
2221980.0,2
2220493.0,2
2151786.0,2
2223938.0,2
2171440.0,2
2220230.0,2
2181139.0,2
2224119.0,2
2224159.0,2
2190030.0,2
2223967.0,2
2200344.0,2
2191564.0,2
2231292.0,2
2224572.0,2
2223396.0,2
2081454.0,2
2070630.0,2
2201107.0,2
2224141.0,2
2170039.0,2
2201400.0,2
2051343.0,2
2224133.0,2
2220889.0,2
2223802.0,2
2230410.0,2
2150405.0,2
2141733.0,2
2200446.0,2
2192085.0,2
2200061.0,2
2223012.0,2
2180995.0,2
2223867.0,2
2220267.0,2
2210162.0,2
2224257.0,2
2224217.0,2
981465.0,2
2210116.0,2
2082242.0,2
2130106.0,2
2224815.0,2
2230387.0,2
2200521.0,2
